PantryID,PantryName,Address,Size,Latitude,Longitude,Ethnic Group,Contact,PredictedCount
AFCBP863,Clifton United Methodist Church Food Bank,"2918 Clifton Church Road, Atlanta, GA - 30316",Medium,33.701214,-84.300641,"Native American or Alaska Native, Black or African American",(404) 241-3388,8658
AFCBP764,Emmaus House Food Pantry,"1017 Hank Aaron Dr SW, Atlanta, GA - 30315",Large,33.721844,-84.388238,"Black or African American, Native American or Alaska Native",(404) 525-5948,7742
AFCBP874,Fountain of Hope Food Pantry,"829 Hollywood Road NW, Atlanta, GA - 30318",Large,33.778441,-84.453383,"Native American or Alaska Native, Black or African American, Hispanic or Latino",(404) 963-6409,6837
AFCBP932,Friendship Community Church Food Pantry,"4141 Old Fairburn Road, Atlanta, GA - 30349",Small,33.645272,-84.544242,"Black or African American, Hispanic or Latino",(404) 349-1278,8528
AFCBP984,Midtown Assistance Center Food Pantry,"30 Porter Place, Atlanta, GA - 30308",Large,33.764416,-84.387013,"Black or African American, Native American or Alaska Native, Hispanic or Latino",(404) 681-5777,8197
AFCBP229,Salvation Army Atlanta Food Pantry,"2090 N. Druid Hills Road NE, Atlanta, GA - 30329",Medium,33.833621,-84.34019,"Native American or Alaska Native, Black or African American",(404) 486-2800,4872
AFCBP193,Shallowford Presbyterian Church - Food Pantry,"2375 Shallowford Road NE, Atlanta, GA - 30345",Medium,33.856984,-84.282732,Native American or Alaska Native,(404) 321-1844,5019
AFCBP336,Suthers Center for Christian Outreach,"3550 Broad Street Suite F, Atlanta, GA - 30341",Small,33.895784,-84.298402,Hispanic or Latino,(770) 455-3358,7259
AFCBP705,Toco Hills Community Alliance,"1790 LaVista Road NE, Atlanta, GA - 30329",Medium,33.8176,-84.3288,"Native American or Alaska Native, Black or African American, Hispanic or Latino",(404) 325-0677,8334
AFCBP885,Malachi's Storehouse,"4755 North Peachtree Rd, Atlanta, GA - 30338",Medium,33.934253,-84.294743,"Hispanic or Latino, Native American or Alaska Native",(770) 455-6523,7120
AFCBP288,Southwest Ecumenical Emergency Assistance Center,"1040 Ralph David Abernathy Blvd, SW, Atlanta, GA - 30310",Medium,33.738226,-84.422741,"Black or African American, Hispanic or Latino, Native American or Alaska Native",(404) 756-1699,7268
AFCBP978,Lee-Stelzer Heritage Research,"372 Sisson Ave NE, Atlanta, GA - 30317",Small,33.763917,-84.314774,Native American or Alaska Native,(404) 373-6327,6680
AFCBP555,Hosea Feed the Hungry,"4779 Mindy Drive, Atlanta, GA - 30336",Medium,33.761018,-84.541125,"Native American or Alaska Native, Black or African American, Hispanic or Latino",(404) 755-3353,8235
AFCBP703,Greater Piney Grove Baptist Church,"1879 Glenwood Ave, SE, Atlanta, GA - 30316",Medium,33.739717,-84.326049,"Native American or Alaska Native, Black or African American, Hispanic or Latino",(404) 377-0562,4862
AFCBP265,First Mount Pleasant Baptist Church,"816 Maynard Terrace, Atlanta, GA - 30316",Small,33.73197,-84.335549,"Black or African American, Native American or Alaska Native, Hispanic or Latino",(404) 627-4967,5229
AFCBP433,First Presbyterian Church of Atlanta,"1328 Peachtree St., NE, Atlanta, GA - 30309",Large,33.790726,-84.385743,"Hispanic or Latino, Native American or Alaska Native, Black or African American",(404) 228-7724,7152
AFCBP609,Feed the Hungry Foundation,"1440 Dutch Valley Pl, NE, Atlanta, GA - 30324",Small,33.793552,-84.368735,"Hispanic or Latino, Native American or Alaska Native, Black or African American",(678) 705-7583,6788
AFCBP271,Central United Methodist Church,"501 Mitchell Street SW, Atlanta, GA - 30314",Medium,33.754036,-84.403853,"Native American or Alaska Native, Black or African American, Hispanic or Latino",(404) 524-4263,7137
AFCBP223,Ben Hill United Methodist Church,"2099 Fairburn Rd. SW, Atlanta, GA - 30331",Small,33.697865,-84.510378,"Black or African American, Native American or Alaska Native, Hispanic or Latino",(404) 344-0618,8666
AFCBP200,Good Manna Food Pantry,"3021 Memorial Drive SE, Atlanta, GA - 30317",Medium,33.74702,-84.287229,Hispanic or Latino,(706) 623-3773,8301
AFCBP192,Providence Missionary Baptist Church,"2295 Benjamin E. Mays Dr. SW, Atlanta, GA - 30311",Small,33.722624,-84.464011,Native American or Alaska Native,(404) 752-6869,4897
AFCBP265,Atlanta International Christian Praise Center - Helping Hands Ministry,"3480 Greenbrair Parkway SW, Atlanta, GA - 30331",Medium,33.68277,-84.505127,"Native American or Alaska Native, Hispanic or Latino",(404) 629-9550,5035
AFCBP384,People United For Change Inc.,"3642 Campbellton Rd Sw, Atlanta, GA - 30331",Small,33.691313,-84.492572,Black or African American,4045506946,6977
AFCBP826,Berean Outreach Ministries Center,"312 Hamilton Holmes Drive, Atlanta, GA - 30318",Medium,33.754257,-84.46756,Native American or Alaska Native,(470) 225-7202,6617
AFCBP978,Essence of Hope Food Pantry,"777 Cleveland Ave. SW, Atlanta, GA - 30315",Medium,33.681709,-84.414825,"Black or African American, Hispanic or Latino, Native American or Alaska Native",(404) 418-8920,4580
AFCBP24,Community Market Place client choice food pantry,"838 Cascade Ave, Atlanta, GA - 30311",Small,33.732183,-84.438373,"Native American or Alaska Native, Black or African American",404-755-4100,7387
AFCBP606,Atlanta Community Food Bank,"732 Joseph E. Lowery Blvd NW, Atlanta, GA - 30318",Large,33.773535,-84.417439,Native American or Alaska Native,(404) 892-3333,7217
AFCBP312,Grace Community Food Pantry,"4215 Wendell Dr SW, Atlanta, GA - 30336",Large,33.769157,-84.524671,"Native American or Alaska Native, Hispanic or Latino",(770) 841-2533,8248
AFCBP77,Feeding & Helping Georgians,"3638 Campbellton Rd SW, Atlanta, GA - 30331",Large,33.691313,-84.492572,Hispanic or Latino,(678) 974-5326,7184
AFCBP83,The Episcopal Church of Saint Martin in the Field,"3110 Ashford Dunwoody Road, Atlanta, GA - 30319",Small,33.879885,-84.327484,"Black or African American, Native American or Alaska Native, Hispanic or Latino",(404) 261-4292,4856
AFCBP422,Briarcliff Baptist Church,"3039 Briarcliff Road NE, Atlanta, GA - 30329",Medium,33.782101,-84.343475,Native American or Alaska Native,(404) 633-6103,8605
AFCBP230,Central United Methodist Church,"501 Martin Luther King Jr. Dr. SW, Atlanta, GA - 30314",Medium,33.754711,-84.40561,"Hispanic or Latino, Black or African American, Native American or Alaska Native",(404) 524-4263,6610
AFCBP247,Community Assistance Center,"8607 Roswell Road, Atlanta, GA - 30350",Large,33.990054,-84.35086,Native American or Alaska Native,(770) 552-4889,8508
AFCBP132,Community Church of God,"850 Cascade Avenue SW, Atlanta, GA - 30311",Medium,33.726642,-84.445111,Hispanic or Latino,(404) 755-4100,
AFCBP772,Feeding GA Families,"2514 W Point Ave, Atlanta, GA - 30337",Small,33.7264,-84.473563,"Native American or Alaska Native, Hispanic or Latino",(678) 223-3663,
